Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Parker Bugg,MIA,24,4,5,5.644067614,41,0,0,0,1,4,,59,255,48,39,37,12,27,3,0,5,1,75,sa738946
Hayden Howard,WSN,25,4,2,3.115382983,36,0,0,0,3,1,,60.2,259,62,23,21,4,19,0,6,5,0,59,sa738994
Chris Viall,NYM,23,0,1,9.553831296,19,0,0,0,2,0,,21.2,109,28,24,23,2,14,1,2,7,0,24,sa738995
Bryan Baker,TOR,24,3,6,3.166666667,49,0,0,0,12,2,,54,232,35,23,19,3,36,2,0,10,0,71,sa739000
Arturo Reyes,TBR,27,11,7,4.422993693,28,23,0,0,0,0,,136.1,586,132,81,67,21,47,1,8,7,1,112,sa739006
Sal Mendez,TEX,24,7,2,2.371098103,26,16,0,0,1,0,,117.2,490,107,38,31,4,37,0,5,5,0,89,sa739012
Williams Ramirez,MIN,26,4,1,3.30612927,12,1,0,0,0,0,,16.1,65,9,7,6,1,6,1,0,1,0,23,sa739056
Angel German,PIT,23,3,3,4.326923077,39,0,0,0,2,1,,52,219,33,25,25,8,31,1,5,6,0,48,sa739256
Luis Ysla,BAL,27,3,6,6.618674292,22,16,0,0,0,0,,85.2,400,98,68,63,14,55,0,8,5,2,82,sa739569
Daniel McGrath,BOS,24,7,1,1.980984185,29,16,0,0,1,0,,122.2,484,85,31,27,6,49,1,1,0,0,116,sa739598
Yunior Marte,KCR,24,3,3,3.580112497,46,0,0,0,2,2,,60.1,262,54,30,24,5,27,0,1,8,1,72,sa739617
Domingo Acevedo,NYY,25,8,1,4.354835869,32,0,0,0,0,0,,51.2,210,42,27,25,11,14,1,1,4,0,54,sa739716
Tyler Spurlin,MIL,28,4,2,1.820222652,22,1,0,0,0,2,,29.2,118,18,9,6,1,11,1,4,3,0,31,sa739833
Jairo Beras,TEX,24,4,3,7.653549399,36,0,0,0,2,1,,42.1,211,44,38,36,4,39,1,5,10,1,40,sa740444
Luis Ledo,CHW,24,4,1,1.827068979,34,0,0,0,8,3,,44.1,178,35,11,9,2,21,0,2,1,0,41,sa740812
Raul Wallace,CIN,23,0,2,3.5,11,0,0,0,0,0,,18,76,10,8,7,1,9,0,2,5,0,23,sa741552
Rodrigo Benoit,MIL,25,7,2,3.857139815,40,0,0,0,13,3,,44.1,193,41,30,19,2,18,1,4,2,3,42,sa747275
Emerson Martinez,TEX,24,3,3,5.029411906,21,10,0,0,0,1,,68,296,79,43,38,7,22,0,3,3,0,59,sa747285
Francys Peguero,WSN,23,3,9,3.01719018,26,21,0,0,0,0,,116.1,499,120,50,39,16,28,0,5,9,0,104,sa748442
Jeferson Mejia,OAK,24,1,2,7.670463357,21,0,0,0,5,1,,29.1,138,35,27,25,5,16,1,3,7,0,43,sa751022
Erasmo Pinales,HOU,24,1,1,4,12,0,0,0,1,1,,18,84,20,9,8,5,12,0,1,2,0,31,sa795280
Norge Ruiz,OAK,25,2,5,6.490378664,38,0,0,0,3,3,,69.1,327,99,56,50,14,23,0,5,7,0,54,sa817357
Brady Feigl,TEX,28,2,0,3.130434783,16,2,0,0,0,2,,23,91,20,10,8,3,4,0,0,0,0,27,sa824867
Eleardo Cabrera,TBR,23,2,2,3.145634155,16,0,0,0,3,1,,34.1,138,25,16,12,1,15,0,0,4,1,31,sa826658
Erling Moreno,CHC,22,6,5,6.02027415,16,8,0,0,0,0,,49.1,227,55,34,33,4,36,0,4,9,0,23,sa827076
Corey Taylor,NYM,26,2,0,2.368421053,10,1,0,0,0,0,,19,81,20,5,5,0,7,2,0,0,0,15,sa827144
Kenny Koplove,COL,25,2,1,3.5,10,0,0,0,0,1,,18,77,13,12,7,0,7,0,1,3,0,21,sa827154
Luis Carrasco,PHI,24,1,2,7.534866874,24,0,0,0,2,0,,28.2,133,22,24,24,1,29,0,3,8,0,27,sa827249
