Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Jose Rodriguez,ATL,AAA,25,6,4,4.93269267,17,15,0,0,0,0,,69.1,293,72,42,38,13,18,0,3,1,0,60,17860
Franklyn Kilome,NYM,AAA,26,3,3,3.348837209,18,5,1,1,1,3,,43,183,29,16,16,3,25,0,6,4,0,38,17861
Ian Gibaut,MIN,AAA,27,1,3,7.2,27,1,0,0,0,1,,40,190,52,32,32,5,20,0,2,3,0,46,17871
Nestor Cortes Jr.,NYY,AAA,26,1,1,1.2,5,1,0,0,1,0,,15,51,8,2,2,1,1,0,0,0,0,18,17874
Brett Kennedy,SDP,AAA,26,1,6,10.35,13,10,0,0,0,0,,40,207,64,48,46,7,22,0,4,4,0,36,17877
Dennis Santana,TEX,AAA,25,0,0,5.785716256,7,3,0,0,0,0,,9.1,41,9,6,6,2,5,0,0,0,0,15,17878
Tayler Saucedo,TOR,AAA,28,2,1,2.076923458,11,0,0,0,0,1,,17.1,64,13,4,4,0,2,1,2,1,0,23,17888
Garrett Cleavinger,LAD,AAA,27,1,0,0,6,0,0,0,0,0,,7,26,3,0,0,0,4,0,0,1,0,13,17897
Cody Ponce,PIT,AAA,27,1,4,4.709302743,15,8,0,0,0,0,,57.1,242,55,30,30,8,18,0,3,2,0,59,17920
Trent Thornton,TOR,AAA,27,1,0,0,8,0,0,0,2,0,,8.1,32,6,1,0,0,2,0,0,0,0,7,17948
Tyler Gilbert,ARI,AAA,27,5,2,3.43949078,11,10,0,0,0,0,,52.1,219,46,22,20,4,19,0,2,0,0,50,17964
Brock Burke,TEX,AAA,24,1,5,5.986426166,20,19,0,0,0,0,,73.2,322,76,53,49,13,30,0,3,3,1,94,17968
Peter Lambert,COL,AAA,24,0,0,0,1,1,0,0,0,0,,2.2,10,2,0,0,0,1,0,0,0,0,3,17969
Bobby Poyner,BOS,AAA,28,0,0,9.692307692,8,0,0,0,0,0,,13,66,22,15,14,6,2,0,3,0,0,12,17987
Logan Webb,SFG,AAA,24,0,0,4.5,1,1,0,0,0,0,,2,7,1,1,1,0,1,0,0,0,0,1,17995
Pete Fairbanks,TBR,AAA,27,0,0,4.5,2,0,0,0,0,0,,2,7,1,1,1,1,0,0,0,0,0,2,17998
Neftali Feliz,LAD,AAA,33,4,2,2.307692308,32,1,0,0,4,1,,39,157,27,13,10,5,14,0,0,2,0,62,18
Triston McKenzie,CLE,AAA,23,1,1,2.95312544,5,5,0,0,0,0,,21.1,91,18,8,7,5,12,0,0,0,0,23,18000
Tanner Anderson,OAK,AAA,28,5,4,4.006451218,29,4,0,0,0,0,,51.2,228,50,26,23,5,26,1,7,2,0,28,18029
Matt Hall,BOS,AAA,27,2,2,7.363635342,28,0,0,0,1,1,,36.2,186,50,34,30,4,26,0,2,6,0,37,18076
Cody Stashak,MIN,AAA,27,0,0,0,2,0,0,0,0,0,,2.1,9,2,0,0,0,0,0,0,0,0,3,18088
Ryan Meisinger,LAD,AAA,27,3,2,3.820754029,29,0,0,0,3,1,,35.1,154,28,16,15,7,18,1,3,2,1,52,18105
Jay Flaa,ATL,AAA,29,1,2,6.123710113,29,0,0,0,1,0,,32.1,157,31,25,22,4,29,1,1,2,0,40,18140
Art Warren,CIN,AAA,28,1,2,5.0625,15,0,0,0,2,1,,16,72,18,10,9,1,5,1,0,4,0,30,18251
Zac Grotz,BOS,AAA,28,1,0,9.580648109,8,1,0,0,0,0,,10.1,51,17,11,11,3,4,0,2,0,0,7,18256
Carson Fulmer,CIN,AAA,27,1,4,4.5,33,1,0,0,1,1,,34,155,31,24,17,2,23,4,2,4,1,45,18311
Pedro Payano,DET,AAA,26,4,6,4.725,16,15,0,0,0,0,,80,354,75,45,42,10,44,0,7,3,0,72,18313
Jacob Waguespack,TOR,AAA,27,7,2,2.658031298,20,10,0,0,1,0,,64.1,271,59,19,19,2,20,0,3,2,1,70,18318
James Kaprielian,OAK,AAA,27,0,1,3.85714023,1,1,0,0,0,0,,4.2,21,8,2,2,0,1,0,0,0,0,5,18331
Eric Hanhold,BAL,AAA,27,1,1,5.192307692,25,0,0,0,4,1,,26,118,28,17,15,6,16,0,0,7,1,27,18332
Alex Young,CLE,AAA,27,1,0,5.58620506,7,0,0,0,0,0,,9.2,42,11,6,6,1,3,0,1,2,0,10,18333
Nick Anderson,TBR,AAA,30,0,0,5.062498491,11,0,0,0,0,1,,10.2,44,12,7,6,2,1,0,0,0,0,12,18337
Julian Fernandez,COL,AAA,25,1,0,0.642857143,14,0,0,0,0,1,,14,54,10,2,1,0,4,0,0,1,0,18,18341
